post_id,user,post_text,likes,shares,timestamp,clean_post_text,hour,weekday
1,user_1,This is a sample POST!!! #fun,20,1,2025-01-01 00:00:00,sample post fun,0,Wednesday
2,user_2,<html>Great Day!</html>,20,3,2025-01-01 06:00:00,great day,6,Wednesday
3,user_3,This is a sample POST!!! #fun,20,1,2025-01-01 12:00:00,sample post fun,12,Wednesday
4,user_4,<html>Great Day!</html>,100,0,2025-01-01 18:00:00,great day,18,Wednesday
5,user_5,This is a sample POST!!! #fun,20,5,2025-01-02 00:00:00,sample post fun,0,Thursday
6,user_6,<html>Great Day!</html>,5,1,2025-01-02 06:00:00,great day,6,Thursday
7,user_7,This is a sample POST!!! #fun,20,5,2025-01-02 12:00:00,sample post fun,12,Thursday
8,user_8,<html>Great Day!</html>,10,5,2025-01-02 18:00:00,great day,18,Thursday
9,user_9,This is a sample POST!!! #fun,5,5,2025-01-03 00:00:00,sample post fun,0,Friday
10,user_10,<html>Great Day!</html>,5,5,2025-01-03 06:00:00,great day,6,Friday
11,user_11,This is a sample POST!!! #fun,0,1,2025-01-03 12:00:00,sample post fun,12,Friday
12,user_12,<html>Great Day!</html>,10,3,2025-01-03 18:00:00,great day,18,Friday
13,user_13,This is a sample POST!!! #fun,5,5,2025-01-04 00:00:00,sample post fun,0,Saturday
14,user_14,<html>Great Day!</html>,5,1,2025-01-04 06:00:00,great day,6,Saturday
15,user_15,This is a sample POST!!! #fun,0,5,2025-01-04 12:00:00,sample post fun,12,Saturday
16,user_16,<html>Great Day!</html>,0,1,2025-01-04 18:00:00,great day,18,Saturday
17,user_17,This is a sample POST!!! #fun,0,3,2025-01-05 00:00:00,sample post fun,0,Sunday
18,user_18,<html>Great Day!</html>,20,3,2025-01-05 06:00:00,great day,6,Sunday
19,user_19,This is a sample POST!!! #fun,10,0,2025-01-05 12:00:00,sample post fun,12,Sunday
20,user_20,<html>Great Day!</html>,0,0,2025-01-05 18:00:00,great day,18,Sunday
